phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase1_two_scale,5f,scale1_scale2_previous,partial,scale1_scale2_previous,4,0.6520,"full_sweep_runner, 28.0 min"
phase1_two_scale,1f,scale0_scale3_previous,partial,scale0_scale3_previous,8,0.7531,"full_sweep_runner, 27.6 min"
phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,2,0.4678,"full_sweep_runner, 47.4 min"
phase1_two_scale,5f,scale1_scale3_previous,partial,scale1_scale3_previous,4,0.6405,"full_sweep_runner, 28.0 min"
phase1_two_scale,1f,scale1_scale2_previous,partial,scale1_scale2_previous,8,0.7661,"full_sweep_runner, 27.4 min"
phase1_two_scale,5f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4,0.5856,"full_sweep_runner, 27.9 min"
phase1_two_scale,1f,scale1_scale3_previous,partial,scale1_scale3_previous,8,0.7694,"full_sweep_runner, 27.6 min"
phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,2,0.4484,"full_sweep_runner, 47.7 min"
phase1_three_scale,5f,only_scale0_previous,partial,only_high_resolution_previous,4,0.4400,"full_sweep_runner, 28.0 min"
phase1_two_scale,1f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8,0.7576,"full_sweep_runner, 27.5 min"
phase1_three_scale,5f,only_scale1_previous,partial,only_scale1_previous,4,0.5616,"full_sweep_runner, 27.9 min"
phase1_three_scale,1f,only_scale0_previous,partial,only_high_resolution_previous,8,0.7354,"full_sweep_runner, 27.6 min"
phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,2,0.2687,"full_sweep_runner, 48.0 min"
phase1_three_scale,5f,only_scale2_previous,partial,only_scale2_previous,4,0.5053,"full_sweep_runner, 28.0 min"
phase1_three_scale,1f,only_scale1_previous,partial,only_scale1_previous,8,0.7526,"full_sweep_runner, 27.7 min"
phase1_three_scale,5f,only_scale3_previous,partial,only_low_resolution_previous,4,0.4773,"full_sweep_runner, 27.9 min"
phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,2,0.2363,"full_sweep_runner, 47.8 min"
phase1_three_scale,1f,only_scale2_previous,partial,only_scale2_previous,8,0.7448,"full_sweep_runner, 27.7 min"
phase1_three_scale,1f,only_scale3_previous,partial,only_low_resolution_previous,8,0.7491,"full_sweep_runner, 27.7 min"
phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,2,0.2174,"full_sweep_runner, 41.4 min"
phase1_leave_one_scale,5f,drop_scale0_previous,partial,drop_scale0_previous,8,0.7777,"full_sweep_runner, 48.7 min"
phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,2,0.4284,"full_sweep_runner, 30.5 min"
phase1_leave_one_scale,5f,drop_scale1_previous,partial,drop_scale1_previous,8,0.7701,"full_sweep_runner, 48.7 min"
phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,2,0.4454,"full_sweep_runner, 30.5 min"
phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,2,0.3319,"full_sweep_runner, 30.7 min"
phase1_leave_one_scale,5f,drop_scale2_previous,partial,drop_scale2_previous,8,0.7769,"full_sweep_runner, 48.6 min"
phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,2,0.1059,"full_sweep_runner, 30.3 min"
phase1_leave_one_scale,5f,drop_scale3_previous,partial,drop_scale3_previous,8,0.7729,"full_sweep_runner, 48.2 min"
phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,2,0.2510,"full_sweep_runner, 30.5 min"
phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,2,0.2049,"full_sweep_runner, 30.7 min"
phase1_two_scale,5f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8,0.7567,"full_sweep_runner, 51.0 min"
phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,2,0.1937,"full_sweep_runner, 30.7 min"
phase0_global,20f,previous,previous,,1,0.4549,"full_sweep_runner, 60.4 min"
phase0_global,10f,previous,previous,,4,0.7106,"full_sweep_runner, 47.7 min"
phase1_two_scale,5f,scale0_scale2_previous,partial,scale0_scale2_previous,8,0.7547,"full_sweep_runner, 79.0 min"
phase0_global,10f,zero,zero,,4,0.4233,"full_sweep_runner, 49.0 min"
phase0_global,20f,zero,zero,,1,0.0218,"full_sweep_runner, 61.9 min"
phase0_global,10f,stale_k2,stale,,4,0.6712,"full_sweep_runner, 48.1 min"
phase1_two_scale,5f,scale0_scale3_previous,partial,scale0_scale3_previous,8,0.7539,"full_sweep_runner, 78.8 min"
phase0_global,20f,stale_k2,stale,,1,0.3780,"full_sweep_runner, 60.2 min"
phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,4,0.7031,"full_sweep_runner, 48.3 min"
phase1_two_scale,5f,scale1_scale2_previous,partial,scale1_scale2_previous,8,0.7703,"full_sweep_runner, 78.6 min"
phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,1,0.4074,"full_sweep_runner, 61.1 min"
phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,4,0.6261,"full_sweep_runner, 48.4 min"
phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,1,0.0910,"full_sweep_runner, 61.5 min"
phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,4,0.6675,"full_sweep_runner, 49.4 min"
phase1_two_scale,5f,scale1_scale3_previous,partial,scale1_scale3_previous,8,0.7711,"full_sweep_runner, 79.8 min"
phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,4,0.6657,"full_sweep_runner, 49.7 min"
phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,1,0.1567,"full_sweep_runner, 60.9 min"
phase1_two_scale,5f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8,0.7596,"full_sweep_runner, 79.4 min"
phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4,0.5784,"full_sweep_runner, 49.5 min"
